,time,ptg_cost,pth_cost
0,0.0,-13.303136929596768,-13.690874766285855
1,900.0,-14.116788246179674,-13.690874766285855
2,1800.0,-14.403381124686128,-13.690874766285855
3,2700.0,-14.061311276869173,-13.690874766285855
4,3600.0,-13.92533053323615,-13.71936662197997
5,4500.0,-14.048429469163931,-13.71936662197997
6,5400.0,-14.091089781203088,-13.71936662197997
7,6300.0,-14.026745728801801,-13.71936662197997
8,7200.0,-13.996913113176358,-13.834270802085205
9,8100.0,-14.013036427059077,-13.834270802085205
10,9000.0,-14.021002254382852,-13.834270802085205
11,9900.0,-14.006696574020035,-13.834270802085205
12,10800.0,-13.996691859505171,-13.980043831852932
13,11700.0,-13.997072102201486,-13.980043831852932
14,12600.0,-14.002050487003226,-13.980043831852932
15,13500.0,-13.997511721140867,-13.980043831852932
16,14400.0,-13.991705018347195,-14.068673940360538
17,15300.0,-13.990499637068659,-14.068673940360538
18,16200.0,-13.99359325586445,-14.068673940360538
19,17100.0,-13.99160249564836,-14.068673940360538
20,18000.0,-13.988222296095694,-14.2789702499725
21,18900.0,-13.987716480828782,-14.2789702499725
22,19800.0,-13.995754744382062,-14.2789702499725
23,20700.0,-13.994312703374103,-14.2789702499725
24,21600.0,-13.989627131514624,-14.339972817766288
25,22500.0,-13.989082064835,-14.339972817766288
26,23400.0,-13.99225616813226,-14.339972817766288
27,24300.0,-13.991487443375995,-14.339972817766288
28,25200.0,-13.989351326043417,-13.863233344933406
29,26100.0,-13.987690763811225,-13.863233344933406
30,27000.0,-13.969061600500549,-13.863233344933406
31,27900.0,-13.970022616786427,-13.863233344933406
32,28800.0,-13.977787727968819,-13.690874766285855
33,29700.0,-13.977324403006723,-13.690874766285855
34,30600.0,-13.967459560935781,-13.690874766285855
35,31500.0,-13.96816299966777,-13.690874766285855
36,32400.0,-13.972580699053312,-13.662475684570904
37,33300.0,-13.972691385444794,-13.662475684570904
38,34200.0,-13.970132329021231,-13.662475684570904
39,35100.0,-13.970437058622347,-13.662475684570904
40,36000.0,-13.971766602362633,-13.776630446515547
41,36900.0,-13.972229856958512,-13.776630446515547
42,37800.0,-13.195296948484113,-13.776630446515547
43,38700.0,-13.53644430421748,-13.776630446515547
44,39600.0,-13.63569130744759,-13.980043831852932
45,40500.0,-13.595752979687918,-13.980043831852932
46,41400.0,-13.683457714803573,-13.980043831852932
47,42300.0,-13.74781007012988,-13.980043831852932
48,43200.0,-13.79628938419067,-14.068673940360538
49,44100.0,-13.833703097809153,-14.068673940360538
50,45000.0,-13.86283436027493,-14.068673940360538
51,45900.0,-13.885761313178847,-14.068673940360538
52,46800.0,-13.903954610164078,-14.218379397593264
53,47700.0,-13.918777602648138,-14.218379397593264
54,48600.0,-13.930672757838934,-14.218379397593264
55,49500.0,-13.940257266467349,-14.218379397593264
56,50400.0,-13.948005018384857,-14.218379397593264
57,51300.0,-13.954284270304175,-14.218379397593264
58,52200.0,-13.959383969317972,-14.218379397593264
59,53100.0,-13.963532672182493,-14.218379397593264
60,54000.0,-13.966912319289866,-14.098414752119767
61,54900.0,-13.969444890802341,-14.098414752119767
62,55800.0,-13.971512490499652,-14.098414752119767
63,56700.0,-13.97320162232818,-14.098414752119767
64,57600.0,-13.974582318658108,-13.980043831852932
65,58500.0,-14.190919082179416,-13.980043831852932
66,59400.0,-14.893090254724477,-13.980043831852932
67,60300.0,-14.66638781729121,-13.980043831852932
68,61200.0,-14.240799747052453,-13.805403326304992
69,62100.0,-14.26722895867563,-13.805403326304992
70,63000.0,-14.395466749768493,-13.805403326304992
71,63900.0,-14.319228152214828,-13.805403326304992
72,64800.0,-14.202010687288306,-13.747951697927189
73,65700.0,-14.186272077412378,-13.747951697927189
74,66600.0,-14.19140311188087,-13.747951697927189
75,67500.0,-14.157408452851543,-13.747951697927189
76,68400.0,-14.11879658817406,-13.71936662197997
77,69300.0,-14.101546688330094,-13.71936662197997
78,70200.0,-14.088994653317746,-13.71936662197997
79,71100.0,-14.071835845619525,-13.71936662197997
80,72000.0,-14.055797391975062,-13.662475684570904
81,72900.0,-14.044337167303892,-13.662475684570904
82,73800.0,-14.032756120380945,-13.662475684570904
83,74700.0,-14.023780396348027,-13.662475684570904
84,75600.0,-14.016754599656213,-13.605954088206206
85,76500.0,-14.010169949206302,-13.605954088206206
86,77400.0,-14.002073585846345,-13.605954088206206
87,78300.0,-13.997425189181259,-13.605954088206206
88,79200.0,-13.99446227904935,-13.577830711058636
89,80100.0,-13.990951308093956,-13.577830711058636
90,81000.0,-13.98645510286414,-13.577830711058636
91,81900.0,-13.984053152485668,-13.577830711058636
92,82800.0,-13.9826224419575,-13.54979838277893
93,83700.0,-13.980765470225224,-13.54979838277893
94,84600.0,-13.977839711461009,-13.54979838277893
95,85500.0,-13.976647534724862,-13.54979838277893
96,86400.0,-13.976182285386377,-14.218379397593264
