,time,WF,PV
0,0.0,88.750949,0.0
1,900.0,88.750949,0.0
2,1800.0,88.750949,0.0
3,2700.0,88.750949,0.0
4,3600.0,90.293251,0.0
5,4500.0,90.293251,0.0
6,5400.0,90.293251,0.0
7,6300.0,90.293251,0.0
8,7200.0,92.601445,0.0
9,8100.0,92.601445,0.0
10,9000.0,92.601445,0.0
11,9900.0,92.601445,0.0
12,10800.0,94.943193,0.0
13,11700.0,94.943193,0.0
14,12600.0,94.943193,0.0
15,13500.0,94.943193,0.0
16,14400.0,97.679965,0.0
17,15300.0,97.679965,0.0
18,16200.0,97.679965,0.0
19,17100.0,97.679965,0.0
20,18000.0,98.850022,0.0
21,18900.0,98.850022,0.0
22,19800.0,98.850022,0.0
23,20700.0,98.850022,0.0
24,21600.0,99.100837,0.0
25,22500.0,99.100837,0.0
26,23400.0,99.100837,0.0
27,24300.0,99.100837,0.0
28,25200.0,99.382052,0.0
29,26100.0,99.382052,0.0
30,27000.0,99.382052,0.0
31,27900.0,99.382052,0.0
32,28800.0,99.238043,0.291983
33,29700.0,99.238043,0.291983
34,30600.0,99.238043,0.291983
35,31500.0,99.238043,0.291983
36,32400.0,99.349675,5.718923
37,33300.0,99.349675,5.718923
38,34200.0,99.349675,5.718923
39,35100.0,99.349675,5.718923
40,36000.0,99.356365,15.337419
41,36900.0,99.356365,15.337419
42,37800.0,99.356365,15.337419
43,38700.0,99.356365,15.337419
44,39600.0,99.333389,43.767656
45,40500.0,99.333389,43.767656
46,41400.0,99.333389,43.767656
47,42300.0,99.333389,43.767656
48,43200.0,99.383457,69.304444
49,44100.0,99.383457,69.304444
50,45000.0,99.383457,69.304444
51,45900.0,99.383457,69.304444
52,46800.0,99.278348,68.046914
53,47700.0,99.278348,68.046914
54,48600.0,99.278348,68.046914
55,49500.0,99.278348,68.046914
56,50400.0,99.128934,58.793726
57,51300.0,99.128934,58.793726
58,52200.0,99.128934,58.793726
59,53100.0,99.128934,58.793726
60,54000.0,99.122275,37.387539
61,54900.0,99.122275,37.387539
62,55800.0,99.122275,37.387539
63,56700.0,99.122275,37.387539
64,57600.0,99.375851,8.831553
65,58500.0,99.375851,8.831553
66,59400.0,99.375851,8.831553
67,60300.0,99.375851,8.831553
68,61200.0,99.195918,0.0
69,62100.0,99.195918,0.0
70,63000.0,99.195918,0.0
71,63900.0,99.195918,0.0
72,64800.0,98.507267,0.0
73,65700.0,98.507267,0.0
74,66600.0,98.507267,0.0
75,67500.0,98.507267,0.0
76,68400.0,97.685474,0.0
77,69300.0,97.685474,0.0
78,70200.0,97.685474,0.0
79,71100.0,97.685474,0.0
80,72000.0,96.489627,0.0
81,72900.0,96.489627,0.0
82,73800.0,96.489627,0.0
83,74700.0,96.489627,0.0
84,75600.0,92.980903,0.0
85,76500.0,92.980903,0.0
86,77400.0,92.980903,0.0
87,78300.0,92.980903,0.0
88,79200.0,89.190383,0.0
89,80100.0,89.190383,0.0
90,81000.0,89.190383,0.0
91,81900.0,89.190383,0.0
92,82800.0,86.740936,0.0
93,83700.0,86.740936,0.0
94,84600.0,86.740936,0.0
95,85500.0,86.740936,0.0
